composerName,birthYear,deathYear,nationality
"Krenek,  Ernst",1900,1991,North American
"Deak,  Jon",1943,1973,North American
"Powell,  John",0,9999,
"Waller,  Fats  (Thomas)",,,NOT FOUND
"Rota,  Nino",1911,1979,Italian
"Dix,  Brian",,,NOT FOUND
"Foote,  Arthur",1853,1937,North American
"Scarlatti,  Domenico",1685,1757,Italian
"Sinding,  Christian",1856,1941,Nordic
"Czibulka,  Alphons",1842,1894,Hungarian
"Langley,  Allan  Lincoln",,,NOT FOUND
"Handy,  William  Christopher",1873,1958,North American
"Giordano,  Umberto",1867,1948,Italian
"Sowerby,  Leo",1895,1968,North American
"Tiomkin,  Dimitri",1894,1979,American
"Lekeu,  Guillaume",1870,1894,French
"Fuleihan,  Anis",1900,1970,North American
"Weingartner,  Felix",1863,1942,Austro-German
"Lully,  Jean  Baptiste",1632,1687,Italian
"Bargiel,  Woldemar",1828,1897,Austro-German
"Reinecke,  Carl",1824,1910,Austro-German
"Bach,  P.D.Q.",2012,2015,North American
"Dun,  Tan",1957,2008,Chinese
"Berezowsky,  Nicolai",1900,1953,American
"Hamlisch,  Marvin",1944,2012,North American
"Malipiero,  Gian  Francesco",1882,1973,Italian
"Rozsa [Rózsa],  Miklós",,,NOT FOUND
"Dallapiccola,  Luigi",1904,1975,Italian
"McDonald,  Harl",1899,1955,North American
"Strayhorn,  Billy",1915,1967,North American
"Tommasini,  Vincenzo",1878,1950,Greek
"Vivanco,  Moises",1922,1922,
"Roger-Ducasse,  Jean",1873,1954,French
"Bolcom,  William",1938,2007,North American
"Dubois,  Theodore",1837,1924,French
"Balakirev,  Mily  Alekseyevich",1837,1836,Russian
"D'Albert,  Eugen",1864,1932,Austro-German
"Quilter,  Roger",1877,1953,English
"Kleinsinger,  George",1914,1982,North American
"Flotow,  Friedrich  Von",1812,1883,Austro-German
"Viotti,  Giovanni  Battista",1755,1824,Italian
"Marsalis,  Wynton",1961,9999,North American
"Orff,  Carl",1895,1895,Austro-German
"Cella,  Theodore",,,NOT FOUND
"Schmitt,  Florent",1870,1958,French
"Kay,  Ulysses  Simpson",1917,1995,North American
"Kernis,  Aaron  Jay",1960,9999,North American
"Schreiner,  Alexander",1901,1987,
"Dinicu,  Grigoras",1889,1949,Romanian
"Harbison,  John",1938,9999,North American
"Canteloube,  Joseph",1879,1957,French
"Joplin,  Scott",1868,1917,North American
"Stucky,  Steven",1949,2016,North American
"Miaskovsky,  Nikolai",1881,1950,Polish
"Lindpaintner,  Peter  Von",,,NOT FOUND
"Tansman,  Alexandre",1897,1986,Polish
"Cage,  John",1912,1992,North American
"Guarnieri,  Camargo",1907,1993,Brazilian
"Moore,  Douglas  Stuart",1893,1969,North American
"Gevaert,  François-Auguste",1828,1908,French
"Wolfe,  Jacques",1896,1973,North American
"Herold,  Louis  Joseph Ferdinand [Hérold]",1791,1833,French
"Zemlinsky,  Alexander",1871,1942,Austro-German
"Rogers,  Bernard",1893,1968,North American
"Newman,  Randy",1943,2002,North American
"Lane,  Burton",1912,1997,North American
"Alfven [Alfvén],  Hugo",1872,1960,Nordic
"Xenakis,  Iannis",1922,2001,Greek
"Saariaho,  Kaija",1952,1982,Nordic
"Marschner,  Heinrich  August",1795,1861,Austro-German
"Sabata,  Victor  De",1892,1967,Italian
"Susato,  Tylman",1510,1570,
"Chaplin,  Charles",1889,1977,English
"Sandoval,",1938,1963,Spanish
"Gillis,  Don",1912,1978,
