,birthYear,deathYear
"Palmgren,  Selim",1878.0,1951.0
"Jadin,  Louis  Emmanuel",1768.0,1853.0
"Kerby,  Paul",,
"Ramos,  Ben",1956.0,1994.0
"Zelenaia,  Margarita",,
"Adler,  Richard",1921.0,2012.0
"Floyd,  Carlisle",1926.0,1955.0
"Rosenthal,  Moritz",1862.0,1946.0
"Eberl,  Anton",1765.0,1807.0
"Lerdahl,  Fred",1943.0,2001.0
"Bozza,  Eugene  Joseph",1905.0,1991.0
"Bruhns,  Arthur",1874.0,1928.0
"Vittoria,  Tomasso",,
"Rathaus,  Karol",1895.0,1954.0
"Kornauth,  Egon",1891.0,1959.0
"Andrico,  Michel  G.",,
"Certon,  Pierre",1510.0,1520.0
"Fitelberg,  Jerzy",1903.0,1951.0
"Rangstrom,  Ture",1884.0,1947.0
"Nathan,  Eric",,
"Mason,  William",1837.0,1913.0
"Ingraham,  George",,
"Cohn,  Ethan",1979.0,9999.0
"Rodgers,  Mary",1931.0,2014.0
"Nancarrow,  Conlon",1912.0,1997.0
"Henry,  Aaron",1922.0,1997.0
"Lohr [Löhr],  Herman",,
"Sacchini,  Antonio",1730.0,1786.0
"Currier,  Sebastian",1959.0,1999.0
"Weerakkody,  Suvani",,
"Trifonov,  Daniil",1991.0,2018.0
"Golestan,  Stan",,
"Biebl,  Franz",1906.0,2001.0
"Pato and Tong,  Christina and Wu",,
"Corby,  Mabelanna",,
"Keillor,  Garrison",1942.0,1974.0
"Cohen,  Sol  B",,
"Romen,  Louis",,
"Ortolani,  Riziero ""Riz""",,
"Boehme,  Oskar",1870.0,1938.0
"Sihanouk,  King  Norodom",1922.0,2012.0
"Siguencia,  Marvin",,
"Joslyn,  Henry",,
"Bach, J. S. -Gounod,",,
"Raisin,  A.",,
"Balendonck,  Armand",,
"Wilder,  Alec",1907.0,1980.0
"Perilhou,  Albert",1846.0,1936.0
"Work,  Henry  Clay",1832.0,1884.0
"Austin,  Larry",1930.0,2018.0
"Bell,  William  Henry",1873.0,1946.0
"Di Castri,  Zosha",2019.0,9999.0
"Cipriani,  Stelvio",1937.0,2018.0
"Holborne,  Anthony",1545.0,1602.0
"Tierney,  Harry",1890.0,1965.0
"Cui,  Cesar [César]",1835.0,1918.0
"Sartori,  Francesco",1957.0,9999.0
"Kummer,  Friedrich  August",1797.0,1879.0
"Alnaes,  Eyvind",1872.0,1932.0
"Arbo,  Miguel  Asins",,
"Satoh,  Somei",1947.0,9999.0
"Laderman,  Ezra",1924.0,2015.0
"Schenk,  Robert  C.",,
"Morley,  Thomas",1557.0,1558.0
"Lachau,  Countess  Ada  de",,
"Hahn,  Reynaldo",1874.0,1947.0
"Wehrli,  Werner",,
"Sobol,  Dr.  Mordechai",,
"Grantham,  Donald",1947.0,9999.0
"Malin and Cordero,  Leslie and Percaiz",,
"Lassus,  Orlande  De",,
"Hasse,  Johann  Adolph",1699.0,1783.0
"Hagen,  Daron",1961.0,9999.0
"Dorsey,  Thomas  Andrew",1899.0,1993.0
"Hendl,  Walter",1917.0,2007.0
"Utagawa,  Karin",,
"Chen,  N.",,
"Masson [Másson],  Askell [Áskell]",,
"Parish-Alvars,  Elias",1808.0,1849.0
"Juarez,  Demicis",,
"Hughes,  Herbert",1882.0,1937.0
"Sussan,  Leo",,
"Reno,  Anais",,
"Tailleferre,  Germaine",1892.0,1983.0
"Johns,  Clayton",,
"Mercurio,  Steven",1956.0,2019.0
"Rubetz,  A.  T.",,
"Warshaw,  Dalit  Paz",,
"Becker,  John  J.",1886.0,1961.0
"Ehrenberg,  Carl  Emil Theodor",1878.0,1962.0
"Caturla,  Alejandro  García",1906.0,1940.0
"Fuchs,  Kenneth",1956.0,9999.0
"Hawkins,  Walter",1949.0,2010.0
"Grafe,  Max",,
"Spielmann,  Fritz",1933.0,2009.0
"Odessaer,  Bulgar",,
"Cassado [Cassadò],  Gaspar",1897.0,1966.0
"Ware,  Harriet",1799.0,1832.0
"Flaherty,  Stephen",1960.0,9999.0
"Simon,  Nat",1900.0,1979.0
"Fisher,  Marvin",,
"Hausegger,  Siegmund  von",1872.0,1948.0
"Iyer,  Vijay",1971.0,2013.0
"Achron,  Isidor",1892.0,1948.0
"Wilensky,  Moshe",1910.0,1997.0
Pola,0.0,9999.0
"Moeran,  Ernest  John",1894.0,1950.0
"Leginska,  Ethel",1886.0,1970.0
"Espiritusanto,  Ashanti",,
"Pugatchov,  Emanuel",,
"Woodman,  Raymond  Huntington",,
"McHugh,  Jimmy",1894.0,1969.0
"Noble,  T.  Tertius",1867.0,1953.0
"Striegler,  Kurt",,
"Ferro,  Nicola",,
"Liu,  Tianhua",,
"Mendelssohn Hensel,  Fanny",1805.0,1847.0
"Merrick,  Mahlon  Legrand",,
"Egan,  Elizabeth",,
"Hosmer,  Lucius",,
"De la Monnoye,  Bernard",,
"Horowitz,  Joseph",1948.0,1992.0
"Hesketh,  Kenneth",1968.0,9999.0
"Sammartini,  Giuseppe",1695.0,1750.0
"Monaco,  James  V.",1885.0,1945.0
"Lewis,  George",0.0,9999.0
"Wilson,  Mortimer",1876.0,1932.0
"Newley,  Anthony",1931.0,1999.0
"Ozone,  Makato",,
"Smit,  Leo",1921.0,1999.0
"Wallace,  David",0.0,9999.0
"Muradeli,  Vano",1908.0,1970.0
"Iwamoto,  Hiroaki",,
"MacLean,",0.0,9999.0
"Chiaffarelli,  Albert",,
"Maxwell,  Elsa",1883.0,1963.0
"Kim,  Earl",1920.0,1998.0
"Meacham,  Frank  W.",1856.0,1909.0
"Wooldridge,  John",1919.0,1958.0
"Vistel,  Douglas",,
"Berkeley,  Sir  Lennox",,
"Paulino,  Carlos",,
"Schedel,  Margaret",,
"Susaki,  Asuka",,
"Darcieux,  Francisque",,
"Boskerck,  Francis Saltus  Van",,
"Root,  George  Frederick",1820.0,1895.0
"Golde,  Walter",,
"Lachert,  Piotr",1938.0,2018.0
"Haber,  Yotam",2005.0,2007.0
"Streisand,  Barbra",1942.0,1983.0
"Seltzer,  Dov",1932.0,9999.0
"Tanabe,  Aline  Sauvegrain",,
"Yradier,  Sebastian",1809.0,1865.0
"Goublier,",,
"Bardanashvili,  Josef",1948.0,9999.0
"Albright,  William",1891.0,1971.0
"Satter,  Gustave",1832.0,9999.0
"Mattfeld,  Julius",,
"Leigh,  Mitch",1928.0,2014.0
"Camarata,  Tutti",1913.0,2005.0
"Liang,  Lei",1972.0,9999.0
"Bautista,",1979.0,1984.0
"Johansen,  David  Monrad",1888.0,1974.0
"Nordoff,  Paul",1909.0,1977.0
"Williams,  John  Gerard",,
"Koper,  Karl-Heinz  (Köper)",,
"Xu,  Peidong",,
"Jones,  Charles",0.0,9999.0
"Popp,",1869.0,1939.0
"Staud,  Johannes  Maria",1974.0,9999.0
"Hermann,  Hans",1892.0,1924.0
"Alessandresco,  Alfred",,
"Zabel,  Albert  Heinrich",,
"Raposo,  Joe",1937.0,1989.0
"Furstenau,  Anton  Bernhard",1792.0,1852.0
"Rodriguez,  Gerardo  Matos",1897.0,1948.0
"Kremser,  Eduard",,
"Yoder,  Paul  V.",1908.0,1990.0
"Rosenman,  Leonard",1924.0,2008.0
"Nicholson,  Charles",1808.0,1903.0
"Teschner,  Melchior",1584.0,1635.0
"Jatta,  Musa, Jr.",,
"Dodworth,  Allen",,
"Gallico,  Paolo",,
"Wigglesworth,  Ryan",1979.0,9999.0
"Gang and He,  Chen and Zhanhao",,
"Bosmans,  Arturo",,
"Mustonen,  Olli",1967.0,9999.0
"Guenther,  Felix",,
"Southall,  Mitchell  B.",,
"Choi,  Elli",,
"Escaich,  Thierry",1965.0,9999.0
"Lauridsen,  Morten",1943.0,2007.0
"Hyland,  Theoren",,
"D'Ver,  Ethan",,
"Karlsen,  Kjell  Mørk",1947.0,9999.0
"Jackno,  Ralph  John",,
"Grunn,  Homer",,
"Murphy,  Walter",1952.0,1976.0
"Borge,  Victor",1909.0,2000.0
"Pimsleur,  Solomon",,
"Campra,  Andre",1660.0,1744.0
"Eisler,  Hans",1898.0,1962.0
"Johnstone,  Maurice",,
"Lalande,  Michel-Richard  De",1657.0,1726.0
"Ellis,  Kenny",,
"Manon [Mañon],  Cesar",,
"Burgess,  Lord",1924.0,2019.0
"Perez,  Edward",,
"Gilson,  Paul",1865.0,1942.0
"Schwartz,  Elliott",1936.0,2016.0
"Mair,  Franz",,
"Penella,  Manuel",1880.0,1939.0
"Le Flem,  Paul",1881.0,1984.0
"Maciste,",0.0,9999.0
"Hersch,  Michael",1971.0,9999.0
"Green,  Joe",0.0,9999.0
"Cooke,  Arnold",1906.0,2005.0
"Sieveking,  Martinus",1867.0,1950.0
"Gumbert,  Friedrich  Adolf",,
"Hardelot,  Guy  d'",1858.0,1936.0
"Balassa,  Sandor",,
"Drattell,  Deborah",1954.0,9999.0
"Leoni,  Franco",1864.0,1949.0
"Ying,  Qing",,
"Alt,  Bernhard",,
"Alvars,  Paris",,
"Nerini,  Emile",,
"Grip,  Eric",,
"Lajarte,  Theodore  Eduard DuFaure",,
"Davison,  Harriette",,
"Williams,  Mary Lou",1910.0,1981.0
"Bergner,  Frederick",,
"Amiran,  Emanuel",,
"Feliciano,  José",1945.0,1968.0
"Ambrose,  Paul",1868.0,1941.0
"Weaver,  Powell",1890.0,1951.0
"Barnes,  Edward  Shippen",1887.0,1958.0
"Farwell,  Arthur",1872.0,1952.0
"Neidlinger,  William  Harold",,
"Shefter,  Bert",1902.0,1999.0
"Reeves,  David  Wallis",1838.0,1900.0
"Hiramoto,  Wataru",,
"Guizar,  Pepe",1906.0,1980.0
"Lindroth,  Scott",1958.0,1990.0
"Marcelli,  Nino",1890.0,1967.0
"Nikocevic,  Elmir",,
"Spencer,  Victoria",1965.0,9999.0
"Won,  Taehyun",,
"Albert,  Stephen",1941.0,1992.0
"Sager, Carol Bayer,  Foster, David",,
"Turner,  Godfrey",,
"Cliburn,  Van",1934.0,2013.0
"Modugno,  Domenico",1928.0,1994.0
"Gaber,  Harley",1943.0,2011.0
"Farina,  Carlo",1600.0,1639.0
"Peaslee,  Richard",1930.0,2016.0
"Kowal,  M",,
"Wengert,  Jules",,
"Holliger,  Heinz",1939.0,9999.0
"Green,  John",0.0,9999.0
"Barnett,  David",0.0,9999.0
"Hampton,  Calvin",1938.0,1984.0
"Koyama,  Kiyoshige",1914.0,2009.0
"Bazelon,  Irwin",1922.0,1995.0
"Rodriguez [Rodríguez],  Arsenio",1911.0,1970.0
"Gungl [Gung'l],  Joseph",1809.0,1889.0
"Harris,  Charles",0.0,9999.0
"Eilenberg,  Richard",1848.0,1927.0
"Dussek,  Jan  Ladislav",1760.0,1812.0
"Zachow,  Friedrich  Wilhelm",1663.0,1712.0
"Fure,  Ashley",1982.0,2017.0
"McFadyen,",0.0,9999.0
"De Fontenailles,  Henri",,
"Montemezzi,  Italo",1875.0,1952.0
"Colella,  Jeff",,
"Fulmer,  David",0.0,9999.0
"Elwell,  Herbert",1898.0,1974.0
"Livingston,  Alan",1917.0,2009.0
"Schytte,  Ludvig",1848.0,1909.0
"Kalman,  Charles",,
"Campbell-Tipton,  Louis",1877.0,1921.0
"Doyle,  Patrick",1953.0,1989.0
"Anderson,  Robert  Alex",,
"Stor,  Jean",,
"Piccinni,  Nicola",,
"Sierra,  Arlene  Elizabeth",0.0,9999.0
"Hague,  Charles",1769.0,1821.0
"Forsyth,  Cecil",1870.0,1941.0
"Watanabe,  Harumi",,
"MacHugh,  Jimmy",,
"Catel,  Charles  Simon",1773.0,1830.0
"Hoffman,  Solomon",,
"Lorenziti,  Bernard",,
"Mamorsky,  Morris",,
"Larregla,  Joaquin",,
"Westerman,  Gerhart von",,
"Block,  Frederick",,
"Zuraj,  Vito",1979.0,9999.0
"Leschetizky,  Theodor",1830.0,1915.0
"West,  Benjamin",1738.0,1820.0
"Rosenmuller,  Johannes",,
"Garat,  Pierre",1764.0,1823.0
"Kovacs [Kovács],  Bela [Béla]",,
"Haggart,  Bob",1914.0,1998.0
"Ustvolskaya,  Galina",1919.0,2006.0
"Vorisek,  Jan  Vaclav",1791.0,1825.0
"Chinn,  Genevieve",,
"Metzdorff,  Richard",,
"Dworsky and Blaske,  Richard and Lee",,
"Spinelli,  Niccola",1865.0,1909.0
"Novak,  Jan",0.0,9999.0
"Eiger,",1858.0,1938.0
"Bensman,  M.",,
"Vecchi,  Orazio",1550.0,1605.0
"Cerha,  Friedrich",1926.0,9999.0
"Taylor, Brooks & Stanley,",,
"Farnon,  Robert  J.",,
"Marais,  Josef",1905.0,1978.0
"Stevens,  Cassandra",,
"Gabaye,  Pierre",1930.0,1956.0
"Johnson,  John  Rosamund",,
"Verzano,",,
"Dale,  Benjamin  James",,
"Green,  Johnny",1908.0,1989.0
"Distler,  Hugo",1908.0,1942.0
"Kagel,  Mauricio",1931.0,2008.0
"Strube,  Gustav",1867.0,1953.0
"Corghi,  Azio",1937.0,2005.0
"Fruehling,  Carl",1868.0,1937.0
"Pugh,  James",1820.0,1907.0
"Duery,  Louis",,
"Myers,  Laurie",,
"Mollenhauer,  Edward",1827.0,1914.0
"Gates,  Dorothy",,
"May,  Billy  & Kenton, Stan",,
"Andre [André] ,  José",,
"Kotzwara,  Franz",1730.0,1791.0
"Schuecker,  Edmund",,
"Antonini,  Alfredo",1901.0,1983.0
"Sans Souci,  Gertrude",,
"Andre,  Mark",1964.0,2007.0
"Rush,  Loren",1935.0,1970.0
"Sun,  Yiqian",,
"Erickson,  Robert",1917.0,1997.0
"Bergé,  Irénée",,
"Honstein,  Robert",,
"Farley,  Roland",,
"Rogers,",0.0,9999.0
"Grandjany,  Marcel",1891.0,1976.0
"Lazzari,  Sylvio",1857.0,1944.0
"DuPage,  Richard",,
"de Abreu,  Zequinha",1880.0,1935.0
"Arnell,  Richard",1917.0,2009.0
"Benoit,  Peter",1834.0,1901.0
"Secchi,  Antonio",,
"Rawsthorne,  Alan",1905.0,1971.0
"Nichols,  Charles",1876.0,1920.0
"Zaritzky,  Walt  Barrows",,
"Fusco,  Giovanni",1906.0,1968.0
"Imbrie,  Andrew",1921.0,2007.0
"Edelshtadt,",,
"Fryba,  Hans",,
"Salter,",0.0,9999.0
"Moevs,  Robert  (Walter)",,
"Brock,  Timothy",1963.0,9999.0
"Di Lazzaro,  Eldo",,
"Tal,  Josef",1910.0,2008.0
"Kline,  Phil",1953.0,1992.0
"Stoughton,  Roy",,
"Onslow,  George",1731.0,1792.0
"Barrere [Barrère],  Georges",1876.0,1944.0
"Sifuentes,  Carol",,
"Caamano [Caamaño],  Roberto",,
"Luzzi,  Luigi",,
"Shaw,  Caroline",1982.0,2013.0
"Pluddemann,",,
"Gaunt,  Percy",,
"Engel-Berger,  Willy",,
"Zivkovic,  Nebojsa  Jovan",,
"Wolff,  Eric",1957.0,2013.0
"Kinkel,  Johanna",1810.0,1858.0
"Bussotti,  Sylvano",1931.0,9999.0
"Jobim,  Antonio  Carlos",1927.0,1994.0
"Sable,  Lindsay",,
"Avshalomov,  Jacob",1919.0,2013.0
"Clay,  Spencer",,
"Dalayrac,  Nicolas-Marie",1753.0,1809.0
"Niblock,  Phill",1933.0,9999.0
"Brucken Fock,  Gerardus Hubertus Galenus  von",,
"Hummel,  Ferdinand  B.",1855.0,1928.0
"Larson,  Jonathan",1960.0,1996.0
"Babcock,  Andrew",,
"Harline,  Leigh",1907.0,1969.0
"Blackburn,  John  M",,
"Bacon,  Ernst",1898.0,1990.0
"Franchetti,  Arnold",1911.0,1993.0
"Franchetti,  Baron  Alberto",1860.0,1942.0
"Watts,  Wintter",1884.0,1962.0
"Miron,  Issachar",,
"Miller,",0.0,9999.0
"Otani,  Yasuhiro",,
"Zindars,  Earl",1927.0,2005.0
"Phillips,  Burrill",1907.0,1988.0
"Borguno,  A.",,
"Goudoever,  H.D.  van",,
"Steinberg,  Maximilian",1883.0,1946.0
"Lei,  Zhenbang",,
"Johnston,  Bruce",1942.0,1965.0
"Butterworth,  George",1885.0,1916.0
"Amanuensis,  A.  N.",,
"Edwards,  George",1886.0,1953.0
"Perle,  George",1915.0,2009.0
"Hess,  Nigel",1953.0,9999.0
"Legrand,  Michel",1932.0,2019.0
"Reissiger,  Friedrich  August",,
"Bezanson,  Philip",1916.0,1975.0
"Dessner and Parry,  Bryce and Richard Reed",,
"Thrane,  Waldemar",1790.0,1828.0
"Pillois,  Jacques",,
"Gogliano,",,
"Yon,  Pietro  Alessandro",,
"Cottrau,  Teodoro",1827.0,1879.0
"Hirsch/Lanz,  Shelley/Joke",,
"Lansky,  Paul",1944.0,9999.0
"Balcomb,  Stuart",,
"Carter,  Henry",1837.0,1891.0
"Barlow,  Samuel  Latham Mitchell",,
"Mores,  Mariano",1918.0,2016.0
"Cooley,  Carlton",1898.0,1981.0
"Dvorsky,  Michel",1876.0,1957.0
"Bucchino,  John",1952.0,9999.0
"Sametz,  Steven",1954.0,1979.0
"Dietrich,  Albert  Hermann",,
"Bergmann,  Carl",1821.0,1876.0
"Hartmann,",0.0,9999.0
"Cortes [Cortés],  Ramiro",1933.0,1984.0
"Adler,  Larry",1914.0,2001.0
"Landes,",0.0,9999.0
"Vetessy,  George",,
"Gritton,  Eric",,
"Burgmein,  J.",1840.0,1912.0
"Strimer,  Joseph",,
"Anderson,  T.J.",1928.0,9999.0
"Eisenhofer,  Franz  Xaver",,
"Page, Plant, and Bonham,  Jimmy, Robert, and John",,
"Wubbels,  Eric",,
"Brewer,  Sir  Alfred  Herbert",,
"Franck,  Melchior",1579.0,1639.0
"Perez Prado,  Damaso",1916.0,1989.0
"Nunes-Garcia,  José  Maurício",,
"Europe,  James  Reese",1880.0,1919.0
"Wiener,  Jean",1896.0,1982.0
"Fitch,  Theodore",,
"Ivanov-Radkevich,  Nikolai",,
"Saint-Georges,  Joseph Bologne  Chevalier de",,
"Davidson,  Randall",1848.0,1930.0
"Kokkonen,  Joonas",1921.0,1996.0
"Korzeniowsky,  Julian",,
"Mayseder,  Joseph",1789.0,1863.0
"Medaglia,  Julio",1938.0,1966.0
"Gesualdo,  Don  Carlo",1566.0,1613.0
"Burgmuller,  Norbert",1810.0,1836.0
"Baumann,  F.",,
"McGrimsey,  Robert",,
"McCoy,  William  J.",1886.0,1976.0
"Hegar,  Friedrich",1841.0,1927.0
"Riesenfeld,  Hugo",1879.0,1939.0
"Mero,  Yolanda",1887.0,1963.0
"Schorr,  Israel",1886.0,1935.0
"Ainger,  Marc",,
"Cohen,  Lenoard",,
"Hirschhorn,  Michelle",,
"Balissat,  Jean",1936.0,2007.0
"Prima,  Louis",1910.0,1978.0
"Lucas,",0.0,9999.0
"Scudrei,  Salvatore",,
"Cutler,  Henry  Stephen",,
"Harling,  William  Franke",,
"Feng,  Shuya",,
"Pieslak,  Jonathan",,
"Corner,  Dr.  David  Gregor",,
"Nassara-Barroso,",,
"Wiechowicz,  Stanislaw",1893.0,1963.0
"Szymanski,  Fred",,
"Heusen,  James Van",1913.0,1990.0
"Alsneff,",,
"Locatelli,  Pietro",1695.0,1764.0
"Aucoin,  Matthew",1990.0,2016.0
"Fischer,  Clare",1928.0,2012.0
"Wesley,  Mary  Lou",,
"Soarez-Saveno,",,
"Horn,  Charles  Edward",1786.0,1849.0
"Franckenstein,  Clemens  Freiherr von und zu",,
"Verley,  Albert",,
"Kwartin,  Zevulun",,
"Del Riego,  Theresa  Clotilde",,
"Dougherty,  William",1932.0,2010.0
"Spalding,  Albert",1850.0,1915.0
"Mudarra,  Alonso  de",1510.0,1580.0
"Jablonsky,  Stephen",,
"Wolfe,  Stanley",0.0,9999.0
"Abert,  Johann  Joseph",1832.0,1915.0
"Baird,  Tadeusz",1928.0,1981.0
"Vitrago,  Roger",,
"Krasa,  Hans",1899.0,1944.0
"Zangius,  Nikolaus",1570.0,1619.0
"Metzl,  Vladimir",,
"Weismann,  Julius",1879.0,1950.0
"Garrido-Lecca,  Celso",,
"Reed,  Alfred",1921.0,2005.0
"Novacek,  John",,
"Machaut,  Guillaume  De",1300.0,1377.0
"Patterson,  Paul",1943.0,2014.0
"Brown,  Ryan",0.0,9999.0
"Beglarian,  Grant",,
"Phillips,  Peter",1977.0,2000.0
"Gibilaro,  Alfonso",1888.0,1957.0
"Sherwood,  Gordon",1929.0,2013.0
"Schaeffer,  J.",,
"Starokadomsky,  Michael  L.",,
"Heiden,  Bernhard",1910.0,2000.0
"Jolas,  Betsy",1926.0,9999.0
"Rissmann,  Paul",,
"Bettison,  Oscar",1975.0,2017.0
"Vakeva,  Kari",,
"Evers,  Carl",,
"Bettorini,",,
"Haggerty,  Richard",0.0,9999.0
"Sabat,  Marc",1965.0,1999.0
"Mercure,  Pierre",1927.0,1966.0
"Coldplay,",1996.0,1996.0
"Proch,  Heinrich",1809.0,1878.0
"Moross,  Jerome",1913.0,1983.0
"Meck,  Josef",,
"Sivan,  Noam",,
"Millocker,",1842.0,1842.0
"Philippe,",1960.0,2013.0
"Foster,  David",1949.0,2012.0
"Taffanel,  Paul",1844.0,1908.0
"Tajtchevitch,  Marko",,
"Sendrey,  Alfred",,
"Willis,  Annabel",,
"Landau,  Jake",,
"Carrer [Karrer, Karreris],  Pavlos",,
"Shearing,  George",1919.0,2011.0
"Plante,  Daniel",,
"Held,  Ilana",,
"Raats [Rääts],  Jaan",1932.0,1957.0
"Minkowsky,  Giacomo",,
"Haussermann,  John",,
"Schoenherr,  Max",,
"Nevin,  Arthur",1871.0,1943.0
"Isham,  Mark",1951.0,9999.0
"Crusell,  Bernhard  Henrik",1775.0,1838.0
"Hopkins,  Charles  Jerome",1836.0,1898.0
"Rechtman,  Elan",,
"Wolff,",0.0,9999.0
"Webb,  Jimmy",1946.0,1986.0
"Jones,  Jesse",1874.0,1956.0
"Chagrin,  Francis",1905.0,1972.0
"Grainer,  Ron",1922.0,1981.0
"Ebeling,  Johann  Georg",1637.0,1676.0
"Menzel,  Idina",1971.0,1996.0
"Demantius,  Christoph",1567.0,1643.0
"Hurd,  David",1950.0,2013.0
"Gulielmetti,  Jack",,
"Draper,  Isaac",,
"Troiani-Bandini,",,
"Larsson,  Lars  Erik",1908.0,1986.0
"Williams,  Julius",1986.0,2009.0
"Barkauskas,  Vytautas",1931.0,1961.0
"Labunski,  Felix",,
"Sellers,  Brother John",1924.0,1999.0
"Bleckmann,  Theo",1966.0,9999.0
"Paz,  Xavier  de",,
"Bai,  Chengren",,
"Schafer,  R.  Murray",1933.0,1977.0
"Zhao,  Guang",,
"Kihlstedt,  Carla",1971.0,1997.0
"Bowman,  Brooks",1913.0,1937.0
"Listov,  K.",,
"Veit,  Wenzel  Heinrich",1806.0,1864.0
"Ferriz,",1950.0,1921.0
"Yuste Moreno,  Miguel",,
"ACT,",0.0,9999.0
"Bingham,  Seth",1882.0,1972.0
"Curti,",1807.0,1872.0
"Mondonville,  Jean-Joseph  De",,
"Erdmannsdorfer,  Max  Von",,
"Kahn,  Robert",1865.0,1951.0
"Hellmesberger,  Joseph, Jr.",,
"Finzi,  Gerald",1901.0,1956.0
"Acosta,  Daniel",1991.0,9999.0
"Dufourt,  Hugues",1943.0,1973.0
"Gesensway,  Louis",,
"Robinson and White,  William ""Smokey"" and Ronald",,
"Spross,  Charles  Gilbert",,
"Clement [Clément],  Charles  Francois [François]",,
"Oberdier,  Danielle  Kerani",,
"Alamo,  Lazaro del",,
"Tzu,  Huang",1904.0,1938.0
"Franklin,  Benjamin",1706.0,1705.0
"Einbond,  Aaron",,
"Haynes,  Walter  Battison",1859.0,1900.0
"Buonamente,  Giovanni",1595.0,1642.0
"Ross,  Jerry",1944.0,1926.0
"Pleyel,  Ignaz",1757.0,1831.0
"Norman,  Monty",1928.0,9999.0
"Dell'Acqua,  Eva",1856.0,1930.0
"Wright,  Maurice",,
"Elsenheimer,  N.  J.",,
"Esser,  Heinrich",1818.0,1872.0
"Kallman,  Daniel",,
"Kim,  Sae-Young",,
"Kaminski,  Heinrich",1886.0,1946.0
"Bonds,  Margaret",1913.0,1913.0
"Dempster,  Stuart",1936.0,9999.0
"Dupont,  Gabriel",1878.0,1914.0
"Sanz,  Gaspar",1640.0,1710.0
"Diaz,  Luis",1977.0,1983.0
"Wagner,  Melinda",1957.0,1999.0
"Dubugnon,  Richard",,
"Mouton,  Jean",1459.0,1522.0
"Yuasa,  Joji",1929.0,9999.0
"Tuerck,",,
"Humphrey,  Doris",1895.0,1958.0
"Ding,  Qin",,
"Aho,  Kalevi",1949.0,9999.0
"Mallonee [Mallonée],  Caroline",,
"Herrick,  Joseph",1645.0,1710.0
"Bao,  Yuankai",,
"Balada,  Leonardo",1933.0,1956.0
"Stearns,  Theodor",,
"Francoeur,  François",1698.0,1787.0
"Fang,  Yue",,
"Van Der Pals,  Leopold",,
"Ueno,  Ken",1970.0,9999.0
"Tsintsadze,  Sulkhan  Fyodorovich",1925.0,1991.0
"LaChiusa,  Michael  John",1962.0,2000.0
"Burle Marx,  Walter",,
"Dodge,  Charles",1841.0,1910.0
"Buck,  Dudley",1839.0,1909.0
"Leidzen,  Erik",,
"Matzka,  George",,
"Bruckler,  Hugo",,
"Meisel,  Edmund",1894.0,1930.0
"Fischer,  Adolf",0.0,9999.0
"Leon,  Tania",1945.0,1996.0
"Bendel,  Franz",1833.0,1874.0
"Lavalle,  Paul",1908.0,1997.0
"Gold,  Ernest",1881.0,1976.0
"Diaz,  Stanly",,
"Pestalozza,  Alberto",1851.0,1934.0
"Rotolo,  Kyle",,
"Sorozabal,  Pablo",1897.0,1988.0
"Goldman,  Edwin  Franko",1878.0,1956.0
"Rosario,  Janis",,
"Hakim,  Talib  Rasul",1940.0,1964.0
"Suben,  Joel  Eric",1946.0,9999.0
"Friedrich,  Alexander",,
"Stigelli,  Giorgio",,
"Nowakowsky,  D.",,
"Menasce,  Jacques  De",,
"Kretschmar,  Edmund",,
"Lopez-Buchardo,",,
"Marshall,  Charles",0.0,9999.0
"Work,  John",1792.0,1861.0
"Renie [Renié],  Henriette",1875.0,1956.0
"Godfrey,  Kathryn",,
"Wiren [Wirén],  Dag",1905.0,1986.0
"Sortomme,  Richard",,
"Kapica,  Chris",,
"Enthoven,  Henri  Emile",,
"Lange,",0.0,9999.0
"Weprik,  Alexander",1899.0,1958.0
"Hass,  Jeffrey",,
"Bowers,  Robert  Hood",1877.0,1941.0
"Samuel,  Gerhard",,
"Muller,  Wenzel",1767.0,1835.0
"Fillmore,  John  Comfort",,
"Laub,  Fernando",,
"Soper,  Kate",1943.0,9999.0
"Edwards,  Ross",1942.0,1975.0
"Escot,  Pozzi",1933.0,1949.0
"Reif,",1924.0,1984.0
"Garcia,  Jean-Carlos",1992.0,9999.0
"Lane,  Eastwood",1879.0,1951.0
"De La Torre,  Francisco",,
"Kerr,  Harrison",1897.0,1978.0
"Bates,  Django",1960.0,9999.0
"Diamond,  Walter",,
"Ruiz,  Gabriel",1908.0,1999.0
"Fain,  Sammy",1902.0,1989.0
"De Banfield,  Raffaello",,
"Spier,  La Salle",,
"Henderson,  Skitch",1918.0,2005.0
"Loomis,  Harvey  Worthington",1865.0,1930.0
"Patrono,  Clelia",,
"Baker,  Claude",1948.0,9999.0
"Mathieu,  Andre",1929.0,1968.0
"Sohal,  Naresh",1939.0,2018.0
"Anonymous,",0.0,9999.0
"Travis,  Roy  Elihu",,
"Mowrey,  Dent",1888.0,1960.0
"Nunez [Nuñez],  Ivan",,
"Korbray,  Francis  Alexander",,
"Gastaldon,  Stanislas",,
"Scharwenka,  Philipp",1847.0,1917.0
"Romero,  Angel",0.0,9999.0
"Shepherd,  Arthur",1880.0,1958.0
"Alvarez,",0.0,9999.0
"Barry,  Gerald",1898.0,1968.0
"Blackwood,  Easley",1903.0,1992.0
"Tavares,  Hekel",,
"Valverde,  Joaquin",,
"Mancinelli,  Luigi",1848.0,1921.0
