,birthYear,deathYear
"Riegger,  Wallingford",1885.0,1961.0
"Thompson,  Randall",1899.0,1984.0
"Lecuona,  Ernesto",1895.0,1963.0
"Straus,  Oscar",1870.0,1954.0
"Krenek,  Ernst",1900.0,1991.0
"Deak,  Jon",1943.0,1973.0
"Powell,  John",0.0,9999.0
"Waller,  Fats  (Thomas)",,
"Rota,  Nino",1911.0,1979.0
"Dix,  Brian",,
"Foote,  Arthur",1853.0,1937.0
"Scarlatti,  Domenico",1685.0,1757.0
"Sinding,  Christian",1856.0,1941.0
"Czibulka,  Alphons",1842.0,1894.0
"Langley,  Allan  Lincoln",,
"Handy,  William  Christopher",1873.0,1958.0
"Giordano,  Umberto",1867.0,1948.0
"Sowerby,  Leo",1895.0,1968.0
"Tiomkin,  Dimitri",1894.0,1979.0
"Lekeu,  Guillaume",1870.0,1894.0
"Fuleihan,  Anis",1900.0,1970.0
"Weingartner,  Felix",1863.0,1942.0
"Lully,  Jean  Baptiste",1632.0,1687.0
"Bargiel,  Woldemar",1828.0,1897.0
"Reinecke,  Carl",1824.0,1910.0
"Bach,  P.D.Q.",2012.0,2015.0
"Dun,  Tan",1957.0,2008.0
"Berezowsky,  Nicolai",1900.0,1953.0
"Hamlisch,  Marvin",1944.0,2012.0
"Malipiero,  Gian  Francesco",1882.0,1973.0
"Rozsa [Rózsa],  Miklós",,
"Dallapiccola,  Luigi",1904.0,1975.0
"McDonald,  Harl",1899.0,1955.0
"Strayhorn,  Billy",1915.0,1967.0
"Tommasini,  Vincenzo",1878.0,1950.0
"Vivanco,  Moises",1922.0,1922.0
"Roger-Ducasse,  Jean",1873.0,1954.0
"Bolcom,  William",1938.0,2007.0
"Dubois,  Theodore",1837.0,1924.0
"Balakirev,  Mily  Alekseyevich",1837.0,1836.0
"D'Albert,  Eugen",1864.0,1932.0
"Quilter,  Roger",1877.0,1953.0
"Kleinsinger,  George",1914.0,1982.0
"Flotow,  Friedrich  Von",1812.0,1883.0
"Viotti,  Giovanni  Battista",1755.0,1824.0
"Marsalis,  Wynton",1961.0,9999.0
"Orff,  Carl",1895.0,1895.0
"Cella,  Theodore",,
"Schmitt,  Florent",1870.0,1958.0
"Kay,  Ulysses  Simpson",1917.0,1995.0
"Kernis,  Aaron  Jay",1960.0,9999.0
"Schreiner,  Alexander",1901.0,1987.0
"Dinicu,  Grigoras",1889.0,1949.0
"Harbison,  John",1938.0,9999.0
"Canteloube,  Joseph",1879.0,1957.0
"Joplin,  Scott",1868.0,1917.0
"Stucky,  Steven",1949.0,2016.0
"Miaskovsky,  Nikolai",1881.0,1950.0
"Lindpaintner,  Peter  Von",,
"Tansman,  Alexandre",1897.0,1986.0
"Cage,  John",1912.0,1992.0
"Guarnieri,  Camargo",1907.0,1993.0
"Moore,  Douglas  Stuart",1893.0,1969.0
"Gevaert,  François-Auguste",1828.0,1908.0
"Wolfe,  Jacques",1896.0,1973.0
"Herold,  Louis  Joseph Ferdinand [Hérold]",1791.0,1833.0
"Zemlinsky,  Alexander",1871.0,1942.0
"Rogers,  Bernard",1893.0,1968.0
"Newman,  Randy",1943.0,2002.0
"Lane,  Burton",1912.0,1997.0
"Alfven [Alfvén],  Hugo",1872.0,1960.0
"Xenakis,  Iannis",1922.0,2001.0
"Saariaho,  Kaija",1952.0,1982.0
"Marschner,  Heinrich  August",1795.0,1861.0
"Sabata,  Victor  De",1892.0,1967.0
"Susato,  Tylman",1510.0,1570.0
"Chaplin,  Charles",1889.0,1977.0
"Sandoval,",1938.0,1963.0
"Gillis,  Don",1912.0,1978.0
"Ades [Adès],  Thomas",1971.0,9999.0
"Tovey,  Bramwell",1953.0,9999.0
"Converse,  Frederick  S.",1871.0,1940.0
"Anastasio,  Trey",1964.0,1983.0
"Bachelet,  Alfred  (Georges)",,
"Jacobi,  Frederick",1891.0,1952.0
"Siegmeister,  Elie",1909.0,1991.0
"White,  Paul",1886.0,1973.0
"Wuorinen,  Charles",1938.0,9999.0
"Sessions,  Roger",1896.0,1985.0
"Youmans,  Vincent",1898.0,1946.0
"Aubert,  Louis",1877.0,1968.0
"Scharwenka,  Franz  Xaver",1850.0,1924.0
"Kuhlau,  Friedrich",1786.0,1832.0
"Paine,  John  Knowles",1839.0,1906.0
"Gilmore,  Patrick  Sarsfield",1829.0,1892.0
"Maazel,  Lorin",1930.0,2014.0
"Pfitzner,  Hans",1869.0,1949.0
"Henze,  Hans  Werner",1926.0,2012.0
"Cadman,  Charles  Wakefield",1881.0,1946.0
"VARIOUS,",,
"Suk,  Josef",1874.0,1935.0
"Folk Song,",,
"Widor,  Charles  Marie",1844.0,1937.0
"Improvisation,",0.0,9999.0
"Whithorne,  Emerson",1884.0,1958.0
"Bristow,  George  Frederick",1825.0,1898.0
"Davis,  Katherine",1892.0,1980.0
"Boyce,  William",1711.0,1779.0
"Wagenaar,  Bernard",1894.0,1971.0
"Saminsky,  Lazare",1882.0,1959.0
"Scott,  Cyril",1879.0,1970.0
"Neikrug,  Marc",1946.0,1966.0
"Ziehrer,  Carl  Michael",1843.0,1922.0
"Blaine,  Ralph",,
"Catalani,  Alfredo",1854.0,1893.0
"Stix,  Carl",,
"Ysaye,  Eugène",1858.0,1931.0
"Tartini,  Giuseppe",1692.0,1770.0
"Gotovak,  Jakov",,
"Ruggles,  Carl",1876.0,1971.0
"Smith,  David  Stanley",0.0,9999.0
"Schulhoff,  Erwin",1894.0,1942.0
"Walker,  George",0.0,9999.0
"Casadesus,  Robert",1899.0,1972.0
"Torme [Tormé],  Mel",1925.0,1999.0
"Gillet,  Ernest",1856.0,1940.0
"Morricone,  Ennio",1928.0,1961.0
"Templeton,  Alec",1909.0,1963.0
"Del Tredici,  David",1937.0,9999.0
"Boito,  Arrigo",1842.0,1918.0
"Valerius,  Adriaen",1575.0,1625.0
"Breton,  Tomás",,
"Giannini,  Vittorio",1903.0,1966.0
"Chasins,  Abram",1903.0,1987.0
"Lopatnikoff,  Nikolai",1903.0,1976.0
"Lassen,  Eduard",1830.0,1904.0
"Stenhammar,  Wilhelm",1871.0,1927.0
"Stalling,  Carl  W.",1891.0,1972.0
"Shchedrin,  Rodion",1932.0,1972.0
"Birtwistle,  Harrison",1934.0,9999.0
"Praetorius,  Michael",1571.0,1621.0
"Zandonai,  Riccardo",1883.0,1944.0
"Mackenzie,  Alexander  C.",,
"Reich,  Steve",1936.0,1965.0
"Skilton,  Charles  Sanford",1868.0,1941.0
"Benjamin,  Arthur",1893.0,1960.0
"Schoenfield,  Paul",1947.0,1983.0
"Persichetti,  Vincent",1915.0,1987.0
"Vivaldi-Bach,",,
"Kalliwoda,  Johann  W.",,
"Schumann,  Georg",1866.0,1952.0
"Eisfeld,  Theodore",1816.0,1882.0
"Tosti,  Francesco  Paolo",1846.0,1916.0
"Wallace,  William  Vincent",1812.0,1865.0
"Willson,  Meredith",1902.0,1984.0
"Knussen,  Oliver",1952.0,2018.0
"Swanson,  Howard",1907.0,1978.0
"Brockway,  Howard",1870.0,1951.0
"Ruders,  Poul",1949.0,9999.0
"Francaix [Françaix],  Jean",1912.0,1997.0
"Stojowski,  Sigismond",1870.0,1946.0
"Burleigh,  Henry [Harry]  Thacker",1866.0,1949.0
"Blon,  Franz  von",1861.0,1945.0
"Denza,  Luigi",1846.0,1922.0
"Li,  Huanzhi",,
"Salzedo,  Carlos",1885.0,1961.0
"Beriot,  Charles-Auguste  de",1802.0,1870.0
"D'Artega,  (Alfonso)",,
"Maxwell Davies,  Sir  Peter",1934.0,2016.0
"Kramer,  Alex  Walter",,
"Becket,  Thomas  A.",,
"Lachner,  Franz",1803.0,1890.0
"Busch,  Adolf",1891.0,1952.0
"Fine,  Irving",1914.0,1962.0
"Benatzky,  Ralph",1884.0,1957.0
"Schreker,  Franz",1878.0,1934.0
"Boulanger,  Lili",1893.0,1918.0
"Burt,  Alfred  Shaddick",,
"Rihm,  Wolfgang",1952.0,2001.0
"Cailliet,  Lucien",1891.0,1985.0
"Pick-Mangiagalli,  Riccardo",1882.0,1949.0
"Mehul [Méhul],  Etienne  Nicolas",1763.0,1817.0
"Liebermann,  Rolf",1910.0,1999.0
"Schickele,  Peter",1935.0,1990.0
"Fuchs,  Robert",1847.0,1927.0
"Jarnefelt [Järnefelt],  Armas",1869.0,1958.0
"Stringfield,  Lamar",1897.0,1959.0
"Geminiani,  Francesco",1687.0,1762.0
"Bennett,  Robert  Russell",1894.0,1981.0
"Burckhardt,  J.",1818.0,1897.0
"Henselt,  Adolf  Von",1814.0,1889.0
"Boellmann,  Leon",1862.0,1897.0
"Gomes,  Antonio  Carlos",1836.0,1896.0
"Palestrina,  Giovanni  Da",,
"Ochs,  Siegfried",1858.0,1929.0
"Richard,  Douglas  A.",,
"Wilson,  Olly",1937.0,2018.0
"Kurthy,  Zoltan",,
"Paisiello,  Giovanni",1740.0,1816.0
"Golijov,  Osvaldo",1960.0,9999.0
"DiLorenzo,  Anthony",,
"Crespo,  Enrique",1944.0,2009.0
"Bennett,  William  Sterndale",1816.0,1875.0
"Mozart,  Leopold",1719.0,1787.0
"Maganini,  Quinto",1897.0,1974.0
"Hiller,  Ferdinand",1811.0,1885.0
"Mercadante,  Giuseppe  Saverio",,
"Devienne,  François",1759.0,1803.0
"Albinoni,  Tomaso",1671.0,1751.0
"Babbitt,  Milton",1916.0,2011.0
"Steiner,  Max",1888.0,1971.0
"Kreutz,  Arthur",1906.0,1991.0
"Schwantner,  Joseph",1943.0,2002.0
"Molique,  Wilhelm  Bernhard",1802.0,1869.0
"Bulla,  Stephen",,
"James,  Philip",1890.0,1975.0
"Tcherepnin,  Nikolai",1873.0,1945.0
